清涼院流水,1974-8-9,
生島治郎,1933-1-25,2003-3-2
盛田隆二,1954-12-23,
西村京太郎,1930-9-6,
西村寿行,1930-11-3,2007-8-23
西木正明,1940-5-25,
西澤保彦,1960-12-25,
青山光二,1913-2-23,2008-10-29
青木玉,1929-11-30,
青野聰,1943-7-27,
青来有一,1958-12-13,
石橋思案,1867-7-3,
石川英輔,1933-9-30,
石川淳,1899-3-7,1987-12-29
石川達三,1905-7-2,1985-1-31
石田衣良,1960-3-28,
赤江瀑,1933-4-22,
赤坂真理,1964-5-13,
赤瀬川原平,1937-3-27,
赤瀬川隼,1931-11-5,
赤川次郎,1948-2-29,
川口松太郎,1899-10-1,1985-6-9
川崎長太郎,1901-11-26,1985-11-6
川上健一,1949-8-7,
川上宗薫,1924-4-23,1985-10-13
川上未映子,1976-8-29,
川端康成,1899-6-14,1972-4-16
川田拓矢,1949-5-5,
川又千秋,1948-12-4,
川野彰子,1964-9-11,
泉麻人,1956-4-8,
浅倉卓弥,1966-7-13,
浅田次郎,1951-12-13,
浅暮三文,1959-3-21,
船戸与一,1944-2-8,
船山馨,1914-3-31,1981-8-5
素木しづ,1895-3-26,1918-1-27
倉橋由美子,1935-10-10,2005-6-10
倉阪鬼一郎,1960-1-28,
倉知淳,1962-4-25,
早乙女貢,1926-1-1,2008-12-23
早乙女勝元,1932-3-26,
早坂暁,1929-8-11,
草上仁,1959-12-20,
草野唯雄,1915-10-21,
増田みず子,1948-11-13,
増田俊也,1954-12-22,
村山知義,1901-1-18,1977-3-22
村山由佳,1964-7-10,
村松友視,1940-4-10,
村上元三,1910-3-14,2006-4-3
村上春樹,1949-1-12,
村上龍,1952-2-19,
村上浪六,1865-12-18,
多岐川恭,1920-1-7,1994-12-31
多島斗志之,1948-10-24,
多和田葉子,1960-3-23,
太宰治,1909-6-19,1948-6-13
太田忠司,1959-2-24,
太田蘭三,1929-4-19,
打海文三,1947-10-23,2007-10-9
大岡玲,1958-10-16,
大下英治,1944-6-7,
大橋乙羽,1869-7-10,
大原まり子,1959-3-20,
大原富枝,1912-9-28,2000-1-27
大江健三郎,1935-1-31,
大江賢次,1905-9-20,1987-2-1
大崎善生,1957-12-11,
大西巨人,1919-8-20,
大石英司,1961-4-8,
大石圭,1961-5-10,
大沢在昌,1956-3-8,
大谷羊太郎,1931-2-16,
大塚英志,1958-8-28,
大塚楠緒子,1875-8-9,1910-11-9
大槻ケンヂ,1966-2-6,
大鶴義丹,1968-4-24,
大庭みな子,1930-11-11,2007-5-24
大田洋子,1906-11-18,1963-12-10
大道珠貴,1966-4-10,
大藪春彦,1935-2-22,1996-2-26
滝口康彦,1924-3-13,2004-6-9
滝本竜彦,1978-9-20,
谷甲州,1951-3-30,
谷崎精二,1890-12-19,1971-12-14
谷山浩子,1956-8-29,
谷村志穂,1962-10-29,
丹羽文雄,1904-11-22,2005-4-20
淡島寒月,1859-11-17,
団鬼六,1931-4-16,
檀一雄,1912-2-3,1976-1-2
池井戸潤,1963-6-16,
池宮彰一郎,1923-5-16,2007-5-6
池上永一,1970-5-24,
池波正太郎,1923-1-25,1990-5-3
池澤夏樹,1945-7-7,
馳星周,1965-2-18,
